"ENSG","padj","gene"
"ENSG00000104946",NA,"TBC1D17"
"ENSG00000104951",NA,"IL4I1"
"ENSG00000104953",NA,"TLE6"
"ENSG00000104957",NA,"CCDC130"
"ENSG00000104960",NA,"PTOV1"
"ENSG00000104964",NA,"AES"
"ENSG00000104967",NA,"NOVA2"
"ENSG00000104969",NA,"SGTA"
"ENSG00000104972",NA,"LILRB1"
"ENSG00000104973",NA,"MED25"
"ENSG00000104974",NA,"LILRA1"
"ENSG00000104976",NA,"SNAPC2"
"ENSG00000104979",NA,"C19orf53"
"ENSG00000104980",NA,"TIMM44"
"ENSG00000104983",NA,"CCDC61"
"ENSG00000104998",NA,"IL27RA"
"ENSG00000105011",NA,"ASF1B"
"ENSG00000105048",NA,"TNNT1"
"ENSG00000105053",NA,"VRK3"
"ENSG00000105058",NA,"FAM32A"
"ENSG00000105063",NA,"PPP6R1"
"ENSG00000105072",NA,"C19orf44"
"ENSG00000105085",NA,"MED26"
"ENSG00000105088",NA,"OLFM2"
"ENSG00000105122",NA,"RASAL3"
"ENSG00000105127",NA,"AKAP8"
"ENSG00000105135",NA,"ILVBL"
"ENSG00000105136",NA,"ZNF419"
"ENSG00000105137",NA,"SYDE1"
"ENSG00000105141",NA,"CASP14"
"ENSG00000105143",NA,"SLC1A6"
"ENSG00000105146",NA,"AURKC"
"ENSG00000105171",NA,"POP4"
"ENSG00000105173",NA,"CCNE1"
"ENSG00000105176",NA,"URI1"
"ENSG00000105185",NA,"PDCD5"
"ENSG00000105186",NA,"ANKRD27"
"ENSG00000105193",NA,"RPS16"
"ENSG00000105197",NA,"TIMM50"
"ENSG00000105198",NA,"LGALS13"
"ENSG00000105202",NA,"FBL"
"ENSG00000105204",NA,"DYRK1B"
"ENSG00000105205",NA,"CLC"
"ENSG00000105219",NA,"CNTD2"
"ENSG00000105220",NA,"GPI"
"ENSG00000105221",NA,"AKT2"
"ENSG00000105223",NA,"PLD3"
"ENSG00000105227",NA,"PRX"
"ENSG00000105229",NA,"PIAS4"
"ENSG00000105245",NA,"NUMBL"
"ENSG00000105246",NA,"EBI3"
"ENSG00000105248",NA,"YJU2"
"ENSG00000105251",NA,"SHD"
"ENSG00000105254",NA,"TBCB"
"ENSG00000105255",NA,"FSD1"
"ENSG00000105258",NA,"POLR2I"
"ENSG00000105270",NA,"CLIP3"
"ENSG00000105278",NA,"ZFR2"
"ENSG00000105281",NA,"SLC1A5"
"ENSG00000105287",NA,"PRKD2"
"ENSG00000105289",NA,"TJP3"
"ENSG00000105290",NA,"APLP1"
"ENSG00000105298",NA,"CACTIN"
"ENSG00000105321",NA,"CCDC9"
"ENSG00000105323",NA,"HNRNPUL1"
"ENSG00000105325",NA,"FZR1"
"ENSG00000105327",NA,"BBC3"
"ENSG00000105329",NA,"AC011462.1"
"ENSG00000105339",NA,"DENND3"
"ENSG00000105355",NA,"PLIN3"
"ENSG00000105357",NA,"MYH14"
"ENSG00000105364",NA,"MRPL4"
"ENSG00000105366",NA,"SIGLEC8"
"ENSG00000105369",NA,"CD79A"
"ENSG00000105370",NA,"LIM2"
"ENSG00000105371",NA,"ICAM4"
"ENSG00000105372",NA,"RPS19"
"ENSG00000105373",NA,"NOP53"
"ENSG00000105374",NA,"NKG7"
"ENSG00000105376",NA,"ICAM5"
"ENSG00000105379",NA,"ETFB"
"ENSG00000105383",NA,"CD33"
"ENSG00000105388",NA,"CEACAM5"
"ENSG00000105392",NA,"CRX"
"ENSG00000105393",NA,"BABAM1"
"ENSG00000105397",NA,"TYK2"
"ENSG00000105398",NA,"SULT2A1"
"ENSG00000105401",NA,"CDC37"
"ENSG00000105402",NA,"NAPA"
"ENSG00000105404",NA,"RABAC1"
"ENSG00000105409",NA,"ATP1A3"
"ENSG00000105419",NA,"MEIS3"
"ENSG00000105426",NA,"PTPRS"
"ENSG00000105427",NA,"CNFN"
"ENSG00000105428",NA,"ZNRF4"
"ENSG00000105429",NA,"MEGF8"
"ENSG00000105438",NA,"KDELR1"
"ENSG00000105443",NA,"CYTH2"
"ENSG00000105447",NA,"GRWD1"
"ENSG00000105464",NA,"GRIN2D"
"ENSG00000105467",NA,"SYNGR4"
"ENSG00000105472",NA,"CLEC11A"
"ENSG00000105479",NA,"CCDC114"
"ENSG00000105483",NA,"CARD8"
"ENSG00000105486",NA,"LIG1"
"ENSG00000105492",NA,"SIGLEC6"
"ENSG00000105497",NA,"ZNF175"
"ENSG00000105499",NA,"PLA2G4C"
"ENSG00000105501",NA,"SIGLEC5"
"ENSG00000105507",NA,"CABP5"
"ENSG00000105509",NA,"HAS1"
"ENSG00000105514",NA,"RAB3D"
"ENSG00000105516",NA,"DBP"
"ENSG00000105518",NA,"TMEM205"
"ENSG00000105519",NA,"CAPS"
"ENSG00000105520",NA,"PLPPR2"
"ENSG00000105523",NA,"FAM83E"
"ENSG00000105538",NA,"RASIP1"
"ENSG00000105549",NA,"THEG"
"ENSG00000105550",NA,"FGF21"
"ENSG00000105552",NA,"BCAT2"
"ENSG00000105556",NA,"MIER2"
"ENSG00000105559",NA,"PLEKHA4"
"ENSG00000105568",NA,"PPP2R1A"
"ENSG00000105576",NA,"TNPO2"
"ENSG00000105583",NA,"WDR83OS"
"ENSG00000105605",NA,"CACNG7"
"ENSG00000105607",NA,"GCDH"
"ENSG00000105609",NA,"LILRB5"
"ENSG00000105610",NA,"KLF1"
"ENSG00000105612",NA,"DNASE2"
"ENSG00000105613",NA,"MAST1"
"ENSG00000105617",NA,"LENG1"
"ENSG00000105618",NA,"PRPF31"
"ENSG00000105619",NA,"TFPT"
"ENSG00000105639",NA,"JAK3"
"ENSG00000105640",NA,"RPL18A"
"ENSG00000105641",NA,"SLC5A5"
"ENSG00000105642",NA,"KCNN1"
"ENSG00000105643",NA,"ARRDC2"
"ENSG00000105647",NA,"PIK3R2"
"ENSG00000105649",NA,"RAB3A"
"ENSG00000105650",NA,"PDE4C"
"ENSG00000105655",NA,"ISYNA1"
"ENSG00000105656",NA,"ELL"
"ENSG00000105662",NA,"CRTC1"
"ENSG00000105664",NA,"COMP"
"ENSG00000105668",NA,"UPK1A"
"ENSG00000105669",NA,"COPE"
"ENSG00000105671",NA,"DDX49"
"ENSG00000105672",NA,"ETV2"
"ENSG00000105675",NA,"ATP4A"
"ENSG00000105676",NA,"ARMC6"
"ENSG00000105677",NA,"TMEM147"
"ENSG00000105679",NA,"GAPDHS"
"ENSG00000105695",NA,"MAG"
"ENSG00000105696",NA,"TMEM59L"
"ENSG00000105697",NA,"HAMP"
"ENSG00000105698",NA,"USF2"
"ENSG00000105699",NA,"LSR"
"ENSG00000105700",NA,"KXD1"
"ENSG00000105701",NA,"FKBP8"
"ENSG00000105705",NA,"AC004475.1"
"ENSG00000105707",NA,"HPN"
"ENSG00000105708",NA,"ZNF14"
"ENSG00000105711",NA,"SCN1B"
"ENSG00000105717",NA,"PBX4"
"ENSG00000105722",NA,"ERF"
"ENSG00000105723",NA,"GSK3A"
"ENSG00000105726",NA,"ATP13A1"
"ENSG00000105732",NA,"ZNF574"
"ENSG00000105737",NA,"GRIK5"
"ENSG00000105738",NA,"SIPA1L3"
"ENSG00000105755",NA,"ETHE1"
"ENSG00000105767",NA,"CADM4"
"ENSG00000105771",NA,"SMG9"
"ENSG00000105778",NA,"AVL9"
"ENSG00000105784",NA,"RUNDC3B"
"ENSG00000105792",NA,"CFAP69"
"ENSG00000105793",NA,"GTPBP10"
"ENSG00000105808",NA,"RASA4"
"ENSG00000105810",NA,"CDK6"
"ENSG00000105819",NA,"PMPCB"
"ENSG00000105821",NA,"DNAJC2"
"ENSG00000105825",NA,"TFPI2"
"ENSG00000105829",NA,"BET1"
"ENSG00000105835",NA,"NAMPT"
"ENSG00000105849",NA,"TWISTNB"
"ENSG00000105851",NA,"PIK3CG"
"ENSG00000105852",NA,"PON3"
"ENSG00000105854",NA,"PON2"
"ENSG00000105855",NA,"ITGB8"
"ENSG00000105856",NA,"HBP1"
"ENSG00000105865",NA,"DUS4L"
"ENSG00000105866",NA,"SP4"
"ENSG00000105875",NA,"WDR91"
"ENSG00000105877",NA,"DNAH11"
"ENSG00000105879",NA,"CBLL1"
"ENSG00000105880",NA,"DLX5"
"ENSG00000105887",NA,"MTPN"
"ENSG00000105889",NA,"STEAP1B"
"ENSG00000105894",NA,"PTN"
"ENSG00000105926",NA,"MPP6"
"ENSG00000105928",NA,"GSDME"
"ENSG00000105929",NA,"ATP6V0A4"
"ENSG00000105939",NA,"ZC3HAV1"
"ENSG00000105948",NA,"TTC26"
"ENSG00000105953",NA,"OGDH"
"ENSG00000105954",NA,"NPVF"
"ENSG00000105963",NA,"ADAP1"
"ENSG00000105967",NA,"TFEC"
"ENSG00000105968",NA,"H2AFV"
"ENSG00000105971",NA,"CAV2"
"ENSG00000105974",NA,"CAV1"
"ENSG00000105976",NA,"MET"
"ENSG00000105982",NA,"RNF32"
"ENSG00000105983",NA,"LMBR1"
"ENSG00000105989",NA,"WNT2"
"ENSG00000105991",NA,"HOXA1"
"ENSG00000105993",NA,"DNAJB6"
"ENSG00000105996",NA,"HOXA2"
"ENSG00000105997",NA,"HOXA3"
"ENSG00000106003",NA,"LFNG"
"ENSG00000106004",NA,"HOXA5"
"ENSG00000106006",NA,"HOXA6"
"ENSG00000106009",NA,"BRAT1"
"ENSG00000106012",NA,"IQCE"
"ENSG00000106013",NA,"ANKRD7"
"ENSG00000106018",NA,"VIPR2"
"ENSG00000106025",NA,"TSPAN12"
"ENSG00000106028",NA,"SSBP1"
"ENSG00000106031",NA,"HOXA13"
"ENSG00000106038",NA,"EVX1"
"ENSG00000106049",NA,"HIBADH"
"ENSG00000106052",NA,"TAX1BP1"
"ENSG00000106066",NA,"CPVL"
"ENSG00000106069",NA,"CHN2"
"ENSG00000106070",NA,"GRB10"
"ENSG00000106077",NA,"ABHD11"
"ENSG00000106078",NA,"COBL"
"ENSG00000106080",NA,"FKBP14"
"ENSG00000106086",NA,"PLEKHA8"
"ENSG00000106089",NA,"STX1A"
"ENSG00000106100",NA,"NOD1"
"ENSG00000106105",NA,"GARS"
"ENSG00000106113",NA,"CRHR2"
"ENSG00000106123",NA,"EPHB6"
"ENSG00000106125",NA,"MINDY4"
"ENSG00000106128",NA,"GHRHR"
"ENSG00000106133",NA,"NSUN5P2"
"ENSG00000106144",NA,"CASP2"
"ENSG00000106153",NA,"CHCHD2"
"ENSG00000106178",NA,"CCL24"
"ENSG00000106211",NA,"HSPB1"
"ENSG00000106236",NA,"NPTX2"
"ENSG00000106244",NA,"PDAP1"
"ENSG00000106245",NA,"BUD31"
"ENSG00000106246",NA,"PTCD1"
"ENSG00000106258",NA,"CYP3A5"
"ENSG00000106261",NA,"ZKSCAN1"
"ENSG00000106263",NA,"EIF3B"
"ENSG00000106266",NA,"SNX8"
"ENSG00000106268",NA,"NUDT1"
"ENSG00000106278",NA,"PTPRZ1"
"ENSG00000106290",NA,"TAF6"
"ENSG00000106299",NA,"WASL"
"ENSG00000106302",NA,"HYAL4"
"ENSG00000106304",NA,"SPAM1"
"ENSG00000106305",NA,"AIMP2"
"ENSG00000106327",NA,"TFR2"
"ENSG00000106328",NA,"FSCN3"
"ENSG00000106330",NA,"MOSPD3"
"ENSG00000106331",NA,"PAX4"
"ENSG00000106333",NA,"PCOLCE"
"ENSG00000106336",NA,"FBXO24"
"ENSG00000106341",NA,"PPP1R17"
"ENSG00000106344",NA,"RBM28"
"ENSG00000106346",NA,"USP42"
"ENSG00000106348",NA,"IMPDH1"
"ENSG00000106351",NA,"AGFG2"
"ENSG00000106355",NA,"LSM5"
"ENSG00000106366",NA,"SERPINE1"
"ENSG00000106367",NA,"AP1S1"
"ENSG00000106384",NA,"MOGAT3"
"ENSG00000106392",NA,"C1GALT1"
"ENSG00000106397",NA,"PLOD3"
"ENSG00000106399",NA,"RPA3"
"ENSG00000106400",NA,"ZNHIT1"
"ENSG00000106404",NA,"CLDN15"
"ENSG00000106410",NA,"NOBOX"
"ENSG00000106415",NA,"GLCCI1"
"ENSG00000106436",NA,"MYL10"
"ENSG00000106443",NA,"PHF14"
"ENSG00000106459",NA,"NRF1"
"ENSG00000106460",NA,"TMEM106B"
"ENSG00000106462",NA,"EZH2"
"ENSG00000106477",NA,"CEP41"
"ENSG00000106479",NA,"ZNF862"
"ENSG00000106483",NA,"SFRP4"
"ENSG00000106484",NA,"MEST"
"ENSG00000106511",NA,"MEOX2"
"ENSG00000106524",NA,"ANKMY2"
"ENSG00000106526",NA,"ACTR3C"
"ENSG00000106536",NA,"POU6F2"
"ENSG00000106537",NA,"TSPAN13"
"ENSG00000106538",NA,"RARRES2"
"ENSG00000106541",NA,"AGR2"
"ENSG00000106546",NA,"AHR"
"ENSG00000106554",NA,"CHCHD3"
"ENSG00000106560",NA,"GIMAP2"
"ENSG00000106565",NA,"TMEM176B"
"ENSG00000106571",NA,"GLI3"
"ENSG00000106588",NA,"PSMA2"
"ENSG00000106591",NA,"MRPL32"
"ENSG00000106603",NA,"COA1"
"ENSG00000106605",NA,"BLVRA"
"ENSG00000106608",NA,"URGCP"
"ENSG00000106609",NA,"TMEM248"
"ENSG00000106615",NA,"RHEB"
"ENSG00000106617",NA,"PRKAG2"
"ENSG00000106628",NA,"POLD2"
"ENSG00000106631",NA,"MYL7"
"ENSG00000106633",NA,"GCK"
"ENSG00000106635",NA,"BCL7B"
"ENSG00000106636",NA,"YKT6"
"ENSG00000106638",NA,"TBL2"
"ENSG00000106648",NA,"GALNTL5"
"ENSG00000106665",NA,"CLIP2"
"ENSG00000106682",NA,"EIF4H"
"ENSG00000106683",NA,"LIMK1"
"ENSG00000106686",NA,"SPATA6L"
"ENSG00000106688",NA,"SLC1A1"
"ENSG00000106689",NA,"LHX2"
"ENSG00000106692",NA,"FKTN"
"ENSG00000106701",NA,"FSD1L"
"ENSG00000106714",NA,"CNTNAP3"
"ENSG00000106723",NA,"SPIN1"
"ENSG00000106733",NA,"NMRK1"
"ENSG00000106771",NA,"TMEM245"
"ENSG00000106772",NA,"PRUNE2"
"ENSG00000106785",NA,"TRIM14"
"ENSG00000106789",NA,"CORO2A"
"ENSG00000106799",NA,"TGFBR1"
"ENSG00000106803",NA,"SEC61B"
"ENSG00000106804",NA,"C5"
"ENSG00000106809",NA,"OGN"
"ENSG00000106819",NA,"ASPN"
"ENSG00000106823",NA,"ECM2"
"ENSG00000106829",NA,"TLE4"
"ENSG00000106852",NA,"LHX6"
"ENSG00000106853",NA,"PTGR1"
"ENSG00000106868",NA,"SUSD1"
"ENSG00000106927",NA,"AMBP"
"ENSG00000106948",NA,"AKNA"
"ENSG00000106952",NA,"TNFSF8"
"ENSG00000106976",NA,"DNM1"
"ENSG00000106991",NA,"ENG"
"ENSG00000106992",NA,"AK1"
"ENSG00000106993",NA,"CDC37L1"
"ENSG00000107014",NA,"RLN2"
"ENSG00000107018",NA,"RLN1"
"ENSG00000107020",NA,"PLGRKT"
"ENSG00000107021",NA,"TBC1D13"
"ENSG00000107036",NA,"RIC1"
"ENSG00000107077",NA,"KDM4C"
"ENSG00000107099",NA,"DOCK8"
"ENSG00000107104",NA,"KANK1"
"ENSG00000107105",NA,"ELAVL2"
"ENSG00000107130",NA,"NCS1"
"ENSG00000107140",NA,"TESK1"
"ENSG00000107159",NA,"CA9"
"ENSG00000107164",NA,"FUBP3"
"ENSG00000107165",NA,"TYRP1"
"ENSG00000107175",NA,"CREB3"
"ENSG00000107185",NA,"RGP1"
"ENSG00000107186",NA,"MPDZ"
"ENSG00000107187",NA,"LHX3"
"ENSG00000107201",NA,"DDX58"
"ENSG00000107223",NA,"EDF1"
"ENSG00000107242",NA,"PIP5K1B"
"ENSG00000107249",NA,"GLIS3"
"ENSG00000107262",NA,"BAG1"
"ENSG00000107263",NA,"RAPGEF1"
"ENSG00000107281",NA,"NPDC1"
"ENSG00000107282",NA,"APBA1"
"ENSG00000107290",NA,"SETX"
"ENSG00000107295",NA,"SH3GL2"
"ENSG00000107317",NA,"PTGDS"
"ENSG00000107331",NA,"ABCA2"
"ENSG00000107338",NA,"SHB"
"ENSG00000107341",NA,"UBE2R2"
"ENSG00000107371",NA,"EXOSC3"
"ENSG00000107372",NA,"ZFAND5"
"ENSG00000107404",NA,"DVL1"
"ENSG00000107438",NA,"PDLIM1"
"ENSG00000107443",NA,"CCNJ"
"ENSG00000107447",NA,"DNTT"
"ENSG00000107485",NA,"GATA3"
"ENSG00000107518",NA,"ATRNL1"
"ENSG00000107521",NA,"HPS1"
"ENSG00000107537",NA,"PHYH"
"ENSG00000107551",NA,"RASSF4"
"ENSG00000107554",NA,"DNMBP"
"ENSG00000107560",NA,"RAB11FIP2"
"ENSG00000107562",NA,"CXCL12"
"ENSG00000107566",NA,"ERLIN1"
"ENSG00000107581",NA,"EIF3A"
"ENSG00000107593",NA,"PKD2L1"
"ENSG00000107611",NA,"CUBN"
"ENSG00000107614",NA,"TRDMT1"
"ENSG00000107625",NA,"DDX50"
"ENSG00000107643",NA,"MAPK8"
"ENSG00000107651",NA,"SEC23IP"
"ENSG00000107669",NA,"ATE1"
"ENSG00000107672",NA,"NSMCE4A"
"ENSG00000107679",NA,"PLEKHA1"
"ENSG00000107719",NA,"PALD1"
"ENSG00000107731",NA,"UNC5B"
"ENSG00000107736",NA,"CDH23"
"ENSG00000107738",NA,"VSIR"
"ENSG00000107742",NA,"SPOCK2"
"ENSG00000107745",NA,"MICU1"
"ENSG00000107758",NA,"PPP3CB"
"ENSG00000107771",NA,"CCSER2"
"ENSG00000107779",NA,"BMPR1A"
"ENSG00000107789",NA,"MINPP1"
"ENSG00000107796",NA,"ACTA2"
"ENSG00000107798",NA,"LIPA"
"ENSG00000107807",NA,"TLX1"
"ENSG00000107815",NA,"TWNK"
"ENSG00000107816",NA,"LZTS2"
"ENSG00000107819",NA,"SFXN3"
"ENSG00000107829",NA,"FBXW4"
"ENSG00000107831",NA,"FGF8"
"ENSG00000107833",NA,"NPM3"
"ENSG00000107854",NA,"TNKS2"
"ENSG00000107859",NA,"PITX3"
"ENSG00000107862",NA,"GBF1"
"ENSG00000107863",NA,"ARHGAP21"
"ENSG00000107864",NA,"CPEB3"
"ENSG00000107872",NA,"FBXL15"
"ENSG00000107874",NA,"CUEDC2"
"ENSG00000107882",NA,"SUFU"
"ENSG00000107890",NA,"ANKRD26"
"ENSG00000107897",NA,"ACBD5"
"ENSG00000107902",NA,"LHPP"
"ENSG00000107929",NA,"LARP4B"
"ENSG00000107937",NA,"GTPBP4"
"ENSG00000107938",NA,"EDRF1"
"ENSG00000107949",NA,"BCCIP"
"ENSG00000107951",NA,"MTPAP"
"ENSG00000107954",NA,"NEURL1"
"ENSG00000107957",NA,"SH3PXD2A"
"ENSG00000107959",NA,"PITRM1"
"ENSG00000107960",NA,"STN1"
"ENSG00000107968",NA,"MAP3K8"
"ENSG00000107984",NA,"DKK1"
"ENSG00000108001",NA,"EBF3"
"ENSG00000108010",NA,"GLRX3"
"ENSG00000108018",NA,"SORCS1"
"ENSG00000108021",NA,"TASOR2"
"ENSG00000108039",NA,"XPNPEP1"
"ENSG00000108055",NA,"SMC3"
"ENSG00000108061",NA,"SHOC2"
"ENSG00000108064",NA,"TFAM"
"ENSG00000108091",NA,"CCDC6"
"ENSG00000108094",NA,"CUL2"
"ENSG00000108100",NA,"CCNY"
"ENSG00000108106",NA,"UBE2S"
"ENSG00000108107",NA,"RPL28"
"ENSG00000108175",NA,"ZMIZ1"
"ENSG00000108176",NA,"DNAJC12"
"ENSG00000108179",NA,"PPIF"
"ENSG00000108187",NA,"PBLD"
"ENSG00000108219",NA,"TSPAN14"
"ENSG00000108231",NA,"LGI1"
"ENSG00000108239",NA,"TBC1D12"
"ENSG00000108242",NA,"CYP2C18"
"ENSG00000108244",NA,"KRT23"
"ENSG00000108255",NA,"CRYBA1"
"ENSG00000108256",NA,"NUFIP2"
"ENSG00000108262",NA,"GIT1"
"ENSG00000108298",NA,"RPL19"
"ENSG00000108306",NA,"FBXL20"
"ENSG00000108309",NA,"RUNDC3A"
"ENSG00000108312",NA,"UBTF"
"ENSG00000108342",NA,"CSF3"
"ENSG00000108344",NA,"PSMD3"
"ENSG00000108349",NA,"CASC3"
"ENSG00000108352",NA,"RAPGEFL1"
"ENSG00000108370",NA,"RGS9"
"ENSG00000108375",NA,"RNF43"
"ENSG00000108379",NA,"WNT3"
"ENSG00000108381",NA,"ASPA"
"ENSG00000108384",NA,"RAD51C"
"ENSG00000108387",NA,"SEPT4"
"ENSG00000108389",NA,"MTMR4"
"ENSG00000108395",NA,"TRIM37"
"ENSG00000108405",NA,"P2RX1"
"ENSG00000108406",NA,"DHX40"
"ENSG00000108417",NA,"KRT37"
"ENSG00000108423",NA,"TUBD1"
"ENSG00000108424",NA,"KPNB1"
"ENSG00000108433",NA,"GOSR2"
"ENSG00000108439",NA,"PNPO"
"ENSG00000108443",NA,"RPS6KB1"
"ENSG00000108448",NA,"TRIM16L"
"ENSG00000108465",NA,"CDK5RAP3"
"ENSG00000108468",NA,"CBX1"
"ENSG00000108469",NA,"RECQL5"
"ENSG00000108474",NA,"PIGL"
"ENSG00000108479",NA,"GALK1"
"ENSG00000108506",NA,"INTS2"
"ENSG00000108509",NA,"CAMTA2"
"ENSG00000108510",NA,"MED13"
"ENSG00000108511",NA,"HOXB6"
"ENSG00000108515",NA,"ENO3"
"ENSG00000108518",NA,"PFN1"
"ENSG00000108523",NA,"RNF167"
"ENSG00000108528",NA,"SLC25A11"
"ENSG00000108551",NA,"RASD1"
"ENSG00000108556",NA,"CHRNE"
"ENSG00000108557",NA,"RAI1"
"ENSG00000108559",NA,"NUP88"
"ENSG00000108561",NA,"C1QBP"
"ENSG00000108576",NA,"SLC6A4"
"ENSG00000108578",NA,"BLMH"
"ENSG00000108582",NA,"CPD"
"ENSG00000108587",NA,"GOSR1"
"ENSG00000108588",NA,"CCDC47"
"ENSG00000108590",NA,"MED31"
"ENSG00000108591",NA,"DRG2"
"ENSG00000108592",NA,"FTSJ3"
"ENSG00000108599",NA,"AKAP10"
"ENSG00000108602",NA,"ALDH3A1"
"ENSG00000108604",NA,"SMARCD2"
"ENSG00000108622",NA,"ICAM2"
"ENSG00000108639",NA,"SYNGR2"
"ENSG00000108641",NA,"B9D1"
"ENSG00000108651",NA,"UTP6"
"ENSG00000108654",NA,"DDX5"
"ENSG00000108666",NA,"C17orf75"
"ENSG00000108669",NA,"CYTH1"
"ENSG00000108671",NA,"PSMD11"
"ENSG00000108679",NA,"LGALS3BP"
"ENSG00000108684",NA,"ASIC2"
"ENSG00000108688",NA,"CCL7"
"ENSG00000108691",NA,"CCL2"
"ENSG00000108700",NA,"CCL8"
"ENSG00000108702",NA,"CCL1"
"ENSG00000108733",NA,"PEX12"
"ENSG00000108759",NA,"KRT32"
"ENSG00000108771",NA,"DHX58"
"ENSG00000108773",NA,"KAT2A"
"ENSG00000108774",NA,"RAB5C"
"ENSG00000108784",NA,"NAGLU"
"ENSG00000108786",NA,"HSD17B1"
"ENSG00000108788",NA,"MLX"
"ENSG00000108797",NA,"CNTNAP1"
"ENSG00000108798",NA,"ABI3"
"ENSG00000108799",NA,"EZH1"
"ENSG00000108813",NA,"DLX4"
"ENSG00000108819",NA,"PPP1R9B"
"ENSG00000108821",NA,"COL1A1"
"ENSG00000108823",NA,"SGCA"
"ENSG00000108825",NA,"PTGES3L-AARSD1"
"ENSG00000108826",NA,"MRPL27"
"ENSG00000108828",NA,"VAT1"
"ENSG00000108829",NA,"LRRC59"
"ENSG00000108830",NA,"RND2"
"ENSG00000108839",NA,"ALOX12"
"ENSG00000108840",NA,"HDAC5"
"ENSG00000108846",NA,"ABCC3"
"ENSG00000108848",NA,"LUC7L3"
"ENSG00000108849",NA,"PPY"
"ENSG00000108852",NA,"MPP2"
"ENSG00000108854",NA,"SMURF2"
"ENSG00000108861",NA,"DUSP3"
"ENSG00000108878",NA,"CACNG1"
"ENSG00000108883",NA,"EFTUD2"
"ENSG00000108924",NA,"HLF"
"ENSG00000108932",NA,"SLC16A6"
"ENSG00000108946",NA,"PRKAR1A"
"ENSG00000108947",NA,"EFNB3"
"ENSG00000108950",NA,"FAM20A"
"ENSG00000108953",NA,"YWHAE"
"ENSG00000108960",NA,"MMD"
"ENSG00000108961",NA,"RANGRF"
"ENSG00000108963",NA,"DPH1"
"ENSG00000108984",NA,"MAP2K6"
"ENSG00000109016",NA,"DHRS7B"
"ENSG00000109046",NA,"WSB1"
"ENSG00000109047",NA,"RCVRN"
"ENSG00000109061",NA,"MYH1"
"ENSG00000109062",NA,"SLC9A3R1"
"ENSG00000109063",NA,"MYH3"
"ENSG00000109065",NA,"NAT9"
"ENSG00000109066",NA,"TMEM104"
"ENSG00000109072",NA,"VTN"
"ENSG00000109079",NA,"TNFAIP1"
"ENSG00000109083",NA,"IFT20"
"ENSG00000109084",NA,"TMEM97"
"ENSG00000109089",NA,"CDR2L"
"ENSG00000109099",NA,"PMP22"
"ENSG00000109101",NA,"FOXN1"
"ENSG00000109103",NA,"UNC119"
"ENSG00000109107",NA,"ALDOC"
"ENSG00000109111",NA,"SUPT6H"
"ENSG00000109113",NA,"RAB34"
"ENSG00000109118",NA,"PHF12"
"ENSG00000109132",NA,"PHOX2B"
"ENSG00000109133",NA,"TMEM33"
"ENSG00000109158",NA,"GABRA4"
"ENSG00000109163",NA,"GNRHR"
"ENSG00000109171",NA,"SLAIN2"
"ENSG00000109180",NA,"OCIAD1"
"ENSG00000109181",NA,"UGT2B10"
"ENSG00000109182",NA,"CWH43"
"ENSG00000109184",NA,"DCUN1D4"
"ENSG00000109189",NA,"USP46"
"ENSG00000109193",NA,"SULT1E1"
"ENSG00000109205",NA,"ODAM"
"ENSG00000109208",NA,"SMR3A"
"ENSG00000109220",NA,"CHIC2"
"ENSG00000109255",NA,"NMU"
"ENSG00000109265",NA,"KIAA1211"
"ENSG00000109270",NA,"LAMTOR3"
"ENSG00000109272",NA,"PF4V1"
"ENSG00000109320",NA,"NFKB1"
"ENSG00000109321",NA,"AREG"
"ENSG00000109323",NA,"MANBA"
"ENSG00000109332",NA,"UBE2D3"
"ENSG00000109339",NA,"MAPK10"
"ENSG00000109381",NA,"ELF2"
"ENSG00000109390",NA,"NDUFC1"
"ENSG00000109424",NA,"UCP1"
"ENSG00000109436",NA,"TBC1D9"
"ENSG00000109445",NA,"ZNF330"
"ENSG00000109452",NA,"INPP4B"
"ENSG00000109458",NA,"GAB1"
"ENSG00000109466",NA,"KLHL2"
"ENSG00000109471",NA,"IL2"
"ENSG00000109472",NA,"CPE"
"ENSG00000109475",NA,"RPL34"
"ENSG00000109501",NA,"WFS1"
"ENSG00000109511",NA,"ANXA10"
"ENSG00000109519",NA,"GRPEL1"
"ENSG00000109534",NA,"GAR1"
"ENSG00000109536",NA,"FRG1"
"ENSG00000109572",NA,"CLCN3"
"ENSG00000109576",NA,"AADAT"
"ENSG00000109586",NA,"GALNT7"
"ENSG00000109606",NA,"DHX15"
"ENSG00000109610",NA,"SOD3"
"ENSG00000109618",NA,"SEPSECS"
"ENSG00000109625",NA,"CPZ"
"ENSG00000109654",NA,"TRIM2"
"ENSG00000109667",NA,"SLC2A9"
"ENSG00000109670",NA,"FBXW7"
"ENSG00000109674",NA,"NEIL3"
"ENSG00000109680",NA,"TBC1D19"
"ENSG00000109684",NA,"CLNK"
"ENSG00000109685",NA,"NSD2"
"ENSG00000109686",NA,"SH3D19"
"ENSG00000109689",NA,"STIM2"
"ENSG00000109705",NA,"NKX3-2"
"ENSG00000109736",NA,"MFSD10"
"ENSG00000109738",NA,"GLRB"
"ENSG00000109743",NA,"BST1"
"ENSG00000109756",NA,"RAPGEF2"
"ENSG00000109758",NA,"HGFAC"
"ENSG00000109762",NA,"SNX25"
